id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
1074751070608416770,1074751070608416770,2018-12-17 19:39:57+00:00,2018-12-17 19:39:57+00:00,Empowering the Edges,,False,0,37,301,19,15,,2,Decentralization Foundation,301,https://pbs.twimg.com/profile_banners/1074751070608416770/1554153628,https://pbs.twimg.com/profile_images/1092955199944065024/gO19ZlUU_normal.jpg,False,d24nOrg,d24nOrg,43,False,False,,False,False,
1830971254876061697,1830971254876061697,2024-09-03 14:09:28+00:00,2024-09-03 14:09:28+00:00,Everything about nodes,,False,0,0,2996,1,1,,0,Web3 Decentralization Initiatives by Cointelegraph,2996,https://pbs.twimg.com/profile_banners/1830971254876061697/1726233356,https://pbs.twimg.com/profile_images/1834581774766112768/IHkqRx_D_normal.png,False,Web3_D_I,Web3_D_I,0,True,False,,False,False,
1321381606884560896,1321381606884560896,2020-10-28 09:21:58+00:00,2020-10-28 09:21:58+00:00,"Hello Decentralization Free Online Event // 22nd - 26th February, 2021",True,False,0,128,265,394,7,,65,Hello Decentralization,265,https://pbs.twimg.com/profile_banners/1321381606884560896/1605173500,https://pbs.twimg.com/profile_images/1321381824183128064/EvQ2vBQi_normal.jpg,False,h3lloevent,h3lloevent,81,False,False,['1371497120704958466'],False,False,
296330535,296330535,2011-05-10 15:41:30+00:00,2011-05-10 15:41:30+00:00,"Co-Fo @lorchainblock, @lordofreferrals, @Allroundreview1. Buidlr @Coredao_Org, Contributor @zetablockchain.",True,False,0,18711,619,590,5,"Edo, Nigeria",1373,Mayor of Decentralization - M.O.D,619,https://pbs.twimg.com/profile_banners/296330535/1669747910,https://pbs.twimg.com/profile_images/1630864303799652354/mlDdDB1J_normal.jpg,False,ZESUsHV,ZESUsHV,42503,False,False,['1695020935248478347'],False,False,
1332033418088099843,1332033418088099843,2020-11-26 18:48:29+00:00,2020-11-26 18:48:29+00:00,"Official account of the Arbitrum Foundation, dedicated to the decentralization, security & growth of Arbitrum technologies, including Arbitrum One & Nova.",,False,0,3549,1107056,125,5368,,924,"Arbitrum (💙,🧡)",1107056,https://pbs.twimg.com/profile_banners/1332033418088099843/1707329855,https://pbs.twimg.com/profile_images/1653532864309239810/ZjT_zBAS_normal.png,False,arbitrum,arbitrum,7824,True,False,['1861792767548043430'],False,False,
1477973105775562759,1477973105775562759,2022-01-03 12:00:34+00:00,2022-01-03 12:00:34+00:00,"We are global market and Our offering tailored marketing strategies to help crypto projects gain visibility,",,False,0,232,8408,281,0,,2,Decentralization Whale,8408,https://pbs.twimg.com/profile_banners/1477973105775562759/1733766747,https://pbs.twimg.com/profile_images/1865316241264775169/v07Vrqu4_normal.jpg,False,DC_Whale,DC_Whale,759,False,False,,False,False,
1187664208160124930,1187664208160124930,2019-10-25 09:36:39+00:00,2019-10-25 09:36:39+00:00,$BTC since '12 | Championing Decentralization | MV Global | $PAID | Disruptive Tech Pioneer | Advancing Transparency & Inclusivity | Explore More 👇,True,False,0,37931,225709,4280,1356,,3718,Kyle Chassé / DD🐸,225709,https://pbs.twimg.com/profile_banners/1187664208160124930/1731602738,https://pbs.twimg.com/profile_images/1728438844142587904/mKJ7thPN_normal.jpg,False,kyle_chasse,kyle_chasse,20504,True,False,['1851994133902299329'],False,False,
1823452538798268418,1823452538798268418,2024-08-13 20:12:54+00:00,2024-08-13 20:12:54+00:00,"Danny Phantom (DYPM) | Sui Hero 🚨

Fast and Fastest bot on Sui Blockchain.",,False,0,862,174,288,0,,50,Danny Phantom | True Decentralization,174,https://pbs.twimg.com/profile_banners/1823452538798268418/1728393703,https://pbs.twimg.com/profile_images/1825518680333053952/HjzPb8QW_normal.jpg,False,DYPM_Sol,DYPM_Sol,360,False,False,['1851694386758979847'],False,False,
1614167716079996929,1614167716079996929,2023-01-14 07:49:31+00:00,2023-01-14 07:49:31+00:00,"Archive for show hosted by @MintyFreshVibe

Artists/ Entrepreneurs who are changing the Web3 landscape and the tools we use. 

@RugRadio",,False,0,198,32,19,0,,5,Parks and Decentralization,32,https://pbs.twimg.com/profile_banners/1614167716079996929/1673714494,https://pbs.twimg.com/profile_images/1614298727396835329/jNwnnZ3Z_normal.jpg,False,MediaFrens,MediaFrens,128,False,False,,False,False,
1612099526248235009,1612099526248235009,2023-01-08 14:51:27+00:00,2023-01-08 14:51:27+00:00,"Ever the optimist, never the defeatist.",,False,0,8308,137,219,2,,310,Dr. Decentralization,137,https://pbs.twimg.com/profile_banners/1612099526248235009/1673190794,https://pbs.twimg.com/profile_images/1612105146846285827/Uyl86lBn_normal.jpg,False,Web3_PhD,Web3_PhD,2152,False,False,,False,False,
