id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
74004038,74004038,2009-09-13 23:44:23+00:00,2009-09-13 23:44:23+00:00,"Become a Dedicated Web3 Wallet for Degener and More 
Join our community: https://t.co/LInzoKPXFh",,False,0,131,15840,49,1,,208,Degen Wallet - Smart Wallet for Degener,15840,https://pbs.twimg.com/profile_banners/74004038/1717317776,https://pbs.twimg.com/profile_images/1761657973607415808/UCJdgMzd_normal.jpg,False,DegenwalletARB,DegenwalletARB,305,False,False,['1857755749323256297'],False,False,
1691184345296326656,1691184345296326656,2023-08-14 20:25:58+00:00,2023-08-14 20:25:58+00:00,the multi-network Loopring Smart Wallet https://t.co/2MgVLq2BF3,,False,0,57,1006,3,11,Ethereum,22,Loopring Smart Wallet,1006,https://pbs.twimg.com/profile_banners/1691184345296326656/1695990448,https://pbs.twimg.com/profile_images/1707733921662672896/EG_UyIif_normal.jpg,False,LoopringWallet,LoopringWallet,47,False,False,,False,False,
1623445267918860290,1623445267918860290,2023-02-08 22:14:57+00:00,2023-02-08 22:14:57+00:00,Source of all things finance,True,False,0,23,238,7,0,,12,Smart Wallet,238,https://pbs.twimg.com/profile_banners/1623445267918860290/1712502404,https://pbs.twimg.com/profile_images/1623793121585659907/E_vKgAps_normal.jpg,False,smartwalletcom,smartwalletcom,30,True,False,,False,False,
1713847087991754752,1713847087991754752,2023-10-16 09:19:37+00:00,2023-10-16 09:19:37+00:00,"Building Gas Abstraction for DApps across 30 EVM chains 👩🏻‍💻
Winners of @ETHGlobal '23, @Gitcoin GG19 & GG20 🏆
Join us in our OpenHouse during IBW Week 👇",,False,0,1345,62783,9,7,Download WalletX Extension 👉,420,WalletX: A Gasless Smart Wallet,62783,https://pbs.twimg.com/profile_banners/1713847087991754752/1727517654,https://pbs.twimg.com/profile_images/1814635135314079744/XLNuJf6L_normal.jpg,False,getWalletX,getWalletX,986,True,False,['1863102381262504087'],False,False,
784344576181932033,784344576181932033,2016-10-07 10:48:14+00:00,2016-10-07 10:48:14+00:00,"I am a Big Fish in #MEME Pool . 🐳🐳
Founder Of #SharkWeb3 Community 
Dm for the business cooperation🔥🔥🔥",True,False,0,1703,41418,1111,42,"Sydney, New South Wales",785,Crypto_BigFish🐳,41418,https://pbs.twimg.com/profile_banners/784344576181932033/1687412372,https://pbs.twimg.com/profile_images/1689580734955307008/ILoTTACz_normal.jpg,False,Summer_venom,Summer_venom,3338,True,False,['1793860691889356814'],False,False,
9130922,9130922,2007-09-27 20:08:02+00:00,2007-09-27 20:08:02+00:00,"Ethereum (Layer 2+3) ZK-Rollup Protocol💙 powering⚡️ 
(mobile) ➡️ multi-network Smart Wallet: https://t.co/GKF7EHWRGH (web) ➡️ DApp: https://t.co/aRiISHxvmL",True,False,0,12239,226765,656,2071,Ethereum,1465,Loopring💙,226765,https://pbs.twimg.com/profile_banners/9130922/1687615641,https://pbs.twimg.com/profile_images/1187288603170426880/vV5r_bLF_normal.jpg,False,loopringorg,loopringorg,6708,True,False,['1846947800329998415'],False,False,
1573621463126806533,1573621463126806533,2022-09-24 10:33:27+00:00,2022-09-24 10:33:27+00:00,"🔥Making Defi easy as Cefi - Smart Wallet for Futures Trading & #AiAgents on #ZKsync & #Berachain with Account Abstraction

https://t.co/f84frU5sZ5",True,False,0,4145,147855,442,237,Native on zkSync Era,1980,"Holdstation - Account Abstraction Wallet (∎, ∆)",147855,https://pbs.twimg.com/profile_banners/1573621463126806533/1717577023,https://pbs.twimg.com/profile_images/1686979001489952768/O_UpIgZu_normal.jpg,False,HoldstationW,HoldstationW,3575,True,False,['1854528941467509159'],False,False,
1715279818940403713,1715279818940403713,2023-10-20 08:12:48+00:00,2023-10-20 08:12:48+00:00,"Creso - the future of smart wallets. No seeds, no gas fees, and no fear.",True,False,0,51,13722,14,92,,110,creso,13722,https://pbs.twimg.com/profile_banners/1715279818940403713/1698238194,https://pbs.twimg.com/profile_images/1715299077804404736/XM-Wvwwa_normal.jpg,False,cresowallet,cresowallet,177,True,False,['1790056569159208972'],False,False,
1617958706590912513,1617958706590912513,2023-01-24 18:54:40+00:00,2023-01-24 18:54:40+00:00,"The ultimate airdrop hunting smart contract wallet. No gas-fees on all L2s, 1-tap transactions, full portfolio tracking. Mobile.",True,False,0,1105,12529,4506,52,NYC,94,Rainmaker,12529,https://pbs.twimg.com/profile_banners/1617958706590912513/1725483332,https://pbs.twimg.com/profile_images/1831436278291730432/EMO4v8u3_normal.jpg,False,RainmakerWallet,RainmakerWallet,553,True,False,['1724834817454551202'],False,False,
1598244405269319680,1598244405269319680,2022-12-01 09:17:09+00:00,2022-12-01 09:17:09+00:00,"Secure Your Digital Future: Discover Our Advanced ERC-4337 AA Smart Wallet - Integrating MPC, AI, and Hardware-Level Security with Trusted Execution Environment",True,False,0,767,48280,182,51,,334,ECHOOO- Self Custodial AA Crypto Wallet,48280,https://pbs.twimg.com/profile_banners/1598244405269319680/1688624510,https://pbs.twimg.com/profile_images/1751607745412038656/lkpKsaBQ_normal.jpg,False,echooo_wallet,echooo_wallet,743,True,False,,False,False,
