id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
1500293670003560450,1500293670003560450,2022-03-06 02:15:01+00:00,2022-03-06 02:15:01+00:00,Multi-collateral stablecoin on @AstarNetwork for @Polkadot.,True,False,0,3621,53659,70,130,Star,237,AstridDAO - No.1 Stablecoin on Polkadot,53659,https://pbs.twimg.com/profile_banners/1500293670003560450/1652945797,https://pbs.twimg.com/profile_images/1512910047365713920/Mh54444O_normal.jpg,False,AstridDAO,AstridDAO,755,False,False,['1742842416200028520'],False,False,
1734117447270375424,1734117447270375424,2023-12-11 07:47:55+00:00,2023-12-11 07:47:55+00:00,"A decentralized, permissionless stablecoin on @NervosNetwork and #RGB++.

Over-collateralized by $BTC and $CKB.",True,False,0,224,15959,30,47,Bitcoin,29,Stable++ | Stablecoin for Nervos & RGB++,15959,https://pbs.twimg.com/profile_banners/1734117447270375424/1713771007,https://pbs.twimg.com/profile_images/1782290676409044992/sF3Xy97c_normal.png,False,stablepp,stablepp,133,False,False,['1862327854752833995'],False,False,
1824511030929637376,1824511030929637376,2024-08-16 18:18:34+00:00,2024-08-16 18:18:34+00:00,"Community Account - Tracking the minting, redemption and transfer of Ripple's #RLUSD, currently in Beta testing. Made by @Vet_X0 ! Design by @xJebzie !",,False,0,852,18755,19,32,XRPL,0,Ripple Stablecoin Tracker,18755,https://pbs.twimg.com/profile_banners/1824511030929637376/1725904166,https://pbs.twimg.com/profile_images/1833337314027700224/K3sdwR2a_normal.jpg,False,RL_Tracker,RL_Tracker,188,True,False,,False,False,
1765953100387651584,1765953100387651584,2024-03-08 04:10:11+00:00,2024-03-08 04:10:11+00:00,"Omnichain #stablecoin protocol.

Create the ultimate stablecoin engine to bring an infinite-scale stablecoin market to #Web3!",,False,0,22,15202,14,3,Web3,40,GenericStablecoin,15202,https://pbs.twimg.com/profile_banners/1765953100387651584/1711683545,https://pbs.twimg.com/profile_images/1765953218415374336/tfsVZTOx_normal.jpg,False,GStablecoin,GStablecoin,53,True,False,['1836328476711747714'],False,False,
1520992939459375104,1520992939459375104,2022-05-02 05:06:17+00:00,2022-05-02 05:06:17+00:00,"Unleashing LRTFi ⚡️
Omnichain Stablecoin & Savings Rate Token 💵
Build your DeFi Yield-Farming strategy 🌾

DGT Token Coming Soon 🪂",True,False,0,3297,26241,586,91,,910,Davos | Stablecoin Protocol,26241,https://pbs.twimg.com/profile_banners/1520992939459375104/1711566514,https://pbs.twimg.com/profile_images/1669333483448340492/7CltBPES_normal.jpg,False,Davos_Protocol,Davos_Protocol,4114,True,False,['1828061107052749185'],False,False,
1424805429754810388,1424805429754810388,2021-08-09 18:51:10+00:00,2021-08-09 18:51:10+00:00,"USDs (liquid-staked stablecoin) + Demeter (multi-DEX liquidity management protocol) on @Arbitrum - Mint USDs at https://t.co/E68LokbtYD
https://t.co/xdxsDwVwET",True,False,0,1804,32379,433,227,Worldwide,562,SperaxUSD: Stablecoin with organic Auto-Yield,32379,https://pbs.twimg.com/profile_banners/1424805429754810388/1662996324,https://pbs.twimg.com/profile_images/1562893002200305664/Ft6A9-nN_normal.jpg,False,SperaxUSD,SperaxUSD,2466,True,False,,False,False,
1569060900312596480,1569060900312596480,2022-09-11 20:30:53+00:00,2022-09-11 20:30:53+00:00,Fluid Protocol $USDF is the native decentralized stablecoin for @fuel_network,True,False,0,293,16987,26,59,Fuel Ignition,47,Fluid Protocol ⛽️ Fuel’s Native Stablecoin,16987,https://pbs.twimg.com/profile_banners/1569060900312596480/1682609460,https://pbs.twimg.com/profile_images/1583267197966852097/s7e5pBIm_normal.jpg,False,Fluid_Protocol,Fluid_Protocol,443,True,False,['1859639707266843056'],False,False,
1003230945862877186,1003230945862877186,2018-06-03 11:04:31+00:00,2018-06-03 11:04:31+00:00,"Tracking Stablecoin prints! 
Not affiliated with Tether, USDCoin, First Digital or TrueUSD.",True,False,0,2,53025,8,606,,9,Stablecoin Printer,53025,https://pbs.twimg.com/profile_banners/1003230945862877186/1528105158,https://pbs.twimg.com/profile_images/1346254904894095361/wZPkk5OL_normal.jpg,False,usdcoinprinter,usdcoinprinter,1399,True,False,,False,False,
1815779284902084609,1815779284902084609,2024-07-23 16:01:44+00:00,2024-07-23 16:01:44+00:00,"Bridge is an entirely new payments platform, built with stablecoins, to simplify global money movement. Learn more: https://t.co/5kh2t2HUzp",,False,0,1,7261,2,70,San Francisco,0,Bridge,7261,https://pbs.twimg.com/profile_banners/1815779284902084609/1724205599,https://pbs.twimg.com/profile_images/1825927640668319750/w5LioAfn_normal.jpg,False,Stablecoin,Stablecoin,20,True,False,['1848390849215730100'],False,False,
1818202483405258752,1818202483405258752,2024-07-30 08:30:48+00:00,2024-07-30 08:30:48+00:00,The Ultimate Move Stablecoin,,False,0,127,9625,39,1,,16,Arche Protocol | First StableCoin on Move ✳️,9625,https://pbs.twimg.com/profile_banners/1818202483405258752/1726715545,https://pbs.twimg.com/profile_images/1832984045443223552/nOsKmCX9_normal.jpg,False,ArcheProtocol,ArcheProtocol,141,True,False,['1848458412369318163'],False,False,
1717185921156550656,1717185921156550656,2023-10-25 14:27:13+00:00,2023-10-25 14:27:13+00:00,USDN is the native decentralized stablecoin of @EclipseFND. Join us on discord https://t.co/DqG9aTn9Yd,,False,0,172,1392,18,27,Eclipse,22,Neptune Protocol | Eclipse's Native Stablecoin,1392,https://pbs.twimg.com/profile_banners/1717185921156550656/1698333095,https://pbs.twimg.com/profile_images/1865071247060594689/k4aqBWWN_normal.jpg,False,Neptune_Stable,Neptune_Stable,281,True,False,['1866487539819061365'],False,False,
1192270490288582656,1192270490288582656,2019-11-07 02:40:30+00:00,2019-11-07 02:40:30+00:00,"$HUSD, The safe and secure #stablecoin. Entrance to blockchain world. Issued by Stable Universal and redeemed on a 1:1 basis against the U.S. dollar.",,False,0,765,5131,608,59,,52,HUSD,5131,https://pbs.twimg.com/profile_banners/1192270490288582656/1588142997,https://pbs.twimg.com/profile_images/1192271983846707200/CYNfGkFn_normal.jpg,False,Stablecoin_HUSD,Stablecoin_HUSD,576,False,False,['1506096770153349121'],False,False,
1649355922366398466,1649355922366398466,2023-04-21 10:14:36+00:00,2023-04-21 10:14:36+00:00,The industry body for stablecoin issuers globally,,False,0,100,685,65,2,Global,26,Stablecoin Standard,685,https://pbs.twimg.com/profile_banners/1649355922366398466/1707224599,https://pbs.twimg.com/profile_images/1754847178906816512/7YxJg7Yt_normal.jpg,False,StablecoinStnd,StablecoinStnd,88,False,False,,False,False,
1828702541317857280,1828702541317857280,2024-08-28 07:54:24+00:00,2024-08-28 07:54:24+00:00,"Secure, Stable, Reliable.",,False,0,107,903,12,6,,16,IDRX Stablecoin,903,https://pbs.twimg.com/profile_banners/1828702541317857280/1728013124,https://pbs.twimg.com/profile_images/1844360506024525826/UTnhmnzK_normal.jpg,False,idrx_co,idrx_co,54,True,False,,False,False,
1653402025168601095,1653402025168601095,2023-05-02 14:12:29+00:00,2023-05-02 14:12:29+00:00,Policy ID: 2adf188218a66847024664f4f63939577627a56c090f679fe366c5ee | #Stablecoin | Galloping in to DeFi with the most unstablecoin on Cardano | 🐎💨,,False,0,6213,4597,735,12,,1293,Stablecoin - $STABLE 🐎💨,4597,https://pbs.twimg.com/profile_banners/1653402025168601095/1683583588,https://pbs.twimg.com/profile_images/1655172338323800071/ILKERDRp_normal.jpg,False,stablecoinada,stablecoinada,2993,True,False,['1747182030796779605'],False,False,
1603681505951494146,1603681505951494146,2022-12-16 09:20:48+00:00,2022-12-16 09:20:48+00:00,"Omnichain #Bitcoin Liquidity Protocol.
Backed by @fraxfinance.",True,False,0,1693,19299,292,86,＞＜／,134,"LENX (¤,X) | BTC Stablecoin & Lending",19299,https://pbs.twimg.com/profile_banners/1603681505951494146/1702912687,https://pbs.twimg.com/profile_images/1762694148854059008/4maoV8N__normal.png,False,LENX_Finance,LENX_Finance,984,True,False,['1754827547584381314'],False,False,
1805718865978310657,1805718865978310657,2024-06-25 21:45:39+00:00,2024-06-25 21:45:39+00:00,"Backed only by the power of memes. $69¢ on Solana. Launched on Moonshot. It’s 69 cents, for less than 69 cents… for now.",,False,0,162,241,60,0,$SOL,58,69 Cent Stablecoin,241,https://pbs.twimg.com/profile_banners/1805718865978310657/1719352493,https://pbs.twimg.com/profile_images/1854673296005976077/3XeCk-qC_normal.jpg,False,69cents_on_sol,69cents_on_sol,107,True,False,['1857132493679542370'],False,False,
1666330304209117191,1666330304209117191,2023-06-07 06:25:44+00:00,2023-06-07 06:25:44+00:00,Stablecoin Summit '24 | 20th September by @xrexinc and @unitasprotocol 🎟️ https://t.co/nM7Q2vkQaX,,False,0,356,565,99,7,"Andaz Hotel, Singapore",187,Stablecoin Summit 2024,565,https://pbs.twimg.com/profile_banners/1666330304209117191/1721286525,https://pbs.twimg.com/profile_images/1816750240302792704/oIAQKg6A_normal.jpg,False,stblcnsummit,stblcnsummit,340,False,False,,False,False,
1143727330285588482,1143727330285588482,2019-06-26 03:46:59+00:00,2019-06-26 03:46:59+00:00,"Reserve-backed USD stablecoin on Tezos; Secure, audited, scalable, convertible, dApp programmable #Tezos More stablecoins @StableTez. Backed by @DraperGorenHolm",True,False,0,262,4588,48,26,Tezos Blockchain,52,USD Tez (USDtz) | Tezos USD Stablecoin,4588,https://pbs.twimg.com/profile_banners/1143727330285588482/1596919842,https://pbs.twimg.com/profile_images/1407130406327963648/Y2aaPBVW_normal.jpg,False,USDtz,USDtz,515,False,False,['1756050028530163859'],False,False,
1442410897150918660,1442410897150918660,2021-09-27 08:49:14+00:00,2021-09-27 08:49:14+00:00,The Unofficial DJED Twitter Account. DJED is a next-generation over collateralized stablecoin built to support the Cardano ecosystem. Powered by @COTInetwork 𓍶,,False,0,1694,20402,56,145,Worldwide,89,𓊽 DJED 𓊽,20402,https://pbs.twimg.com/profile_banners/1442410897150918660/1674737932,https://pbs.twimg.com/profile_images/1618594832422666243/wQ3nLHv9_normal.jpg,False,DjedStablecoin,DjedStablecoin,699,False,False,['1858243390359715989'],False,False,
