id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
1775331174908641280,1775331174908641280,2024-04-03 01:15:28+00:00,2024-04-03 01:15:28+00:00,"The first gaming platform built on the #Runes & #EVM,  designed to bring the #Web3gaming world directly to the #Bitcoin community
🎮https://t.co/oxjwE1UOtt",True,False,0,144,10769,2,4,IOS & Android,67,Gate GameFi🎮,10769,https://pbs.twimg.com/profile_banners/1775331174908641280/1715328921,https://pbs.twimg.com/profile_images/1792744799151460352/3pZUx4u0_normal.jpg,False,GateGameFi,GateGameFi,645,True,False,,False,False,
1516412295546613761,1516412295546613761,2022-04-19 13:44:33+00:00,2022-04-19 13:44:33+00:00,Community Custodian @bigaarcade. #Web3gaming,True,False,0,21026,2960,946,6,Kenya,564,mrKonsole,2960,https://pbs.twimg.com/profile_banners/1516412295546613761/1678093951,https://pbs.twimg.com/profile_images/1729790698369495040/IisjDluB_normal.jpg,False,mrKonsole,mrKonsole,6566,True,False,['1737047178982363588'],False,False,
1478778143347560451,1478778143347560451,2022-01-05 17:19:38+00:00,2022-01-05 17:19:38+00:00,"🎮 web3Gaming ✨️
🤵 @seedworldmeta team member ❤️",True,False,0,10431,1443,563,4,,1347,ESCANOR,1443,https://pbs.twimg.com/profile_banners/1478778143347560451/1725750327,https://pbs.twimg.com/profile_images/1824233947611467776/MHhZDAMG_normal.jpg,False,THISISESCANOR,THISISESCANOR,3856,True,False,['1861477687740510294'],False,False,
1478353414660755463,1478353414660755463,2022-01-04 13:12:40+00:00,2022-01-04 13:12:40+00:00,"Knights of Cathena is a turn-based tactics, multiplayer, blockchain game for mobile devices.

Platforms: Android, iOS, PC

#Web3Gaming | #GameFi | @MultiversX",True,False,0,1402,22282,150,61,,262,Knights of Cathena🌱💀,22282,https://pbs.twimg.com/profile_banners/1478353414660755463/1713214319,https://pbs.twimg.com/profile_images/1814646017460981760/emEA1EYP_normal.jpg,False,CathenaKnights,CathenaKnights,1321,True,False,['1861094404749979731'],False,False,
1442050075174137856,1442050075174137856,2021-09-26 08:55:21+00:00,2021-09-26 08:55:21+00:00,"Web3 Gaming Amplified - Find Alpha Decentralised Games at Gametaverse 

#Degame #Web3gaming #FullyOnchain #FOC",True,False,0,771,47288,1237,142,Decentralised Gaming DAO,1155,Gametaverse | AW | FOC | WEB3 Gaming,47288,https://pbs.twimg.com/profile_banners/1442050075174137856/1653032348,https://pbs.twimg.com/profile_images/1630828439019339777/q2kbHsGt_normal.jpg,False,GametaverseDAO,GametaverseDAO,2237,True,False,,False,False,
1386875985761488900,1386875985761488900,2021-04-27 02:53:06+00:00,2021-04-27 02:53:06+00:00,Web3 Community｜Bilingual Alpha Report | Web3Gaming/NFT/Alpha 研报撰写 干货+日更 DM for collab🍡 WE MAKE CONTENT.,True,False,0,2011,26991,1803,90,🍡 island,851,WanziCrypto🍡丸子社区 Web3 Gaming 🎮 Ordinals 🟧,26991,https://pbs.twimg.com/profile_banners/1386875985761488900/1662095091,https://pbs.twimg.com/profile_images/1565538687470878722/QKW9shZV_normal.jpg,False,WanziCrypto,WanziCrypto,2467,True,False,,False,False,
1838110597541478400,1838110597541478400,2024-09-23 06:58:27+00:00,2024-09-23 06:58:27+00:00,🚀 GAMA Coin | Web3 Gaming Revolution 🎮 Built on #XDC Network 🌐 Play-to-Earn | Rewards 🎯 Join the future of decentralized gaming! #Web3Gaming #GAMACoin,,False,0,63,10620,36,0,XDC Network,17,Gama Coin,10620,https://pbs.twimg.com/profile_banners/1838110597541478400/1727090891,https://pbs.twimg.com/profile_images/1838259063294935043/1unyXbTb_normal.jpg,False,Gama_Offical,Gama_Offical,43,True,False,['1853393790507311365'],False,False,
1374471462883500039,1374471462883500039,2021-03-23 21:21:56+00:00,2021-03-23 21:21:56+00:00,#NFT #1000xgem  ▫ #BTC #Cats ▫  📲TG : @Charltcrypt 💋🎀💎  #Web3Gaming  👩 DYOR 🐳🤍,True,False,0,26220,38878,3001,87,metaverse,11650,Its Ayu Charlottee,38878,https://pbs.twimg.com/profile_banners/1374471462883500039/1715382961,https://pbs.twimg.com/profile_images/1796947586185637888/bpOhHK29_normal.jpg,False,ayucharlottee,ayucharlottee,38909,True,False,['1866536125398999464'],False,False,
1469621840985399297,1469621840985399297,2021-12-11 10:55:40+00:00,2021-12-11 10:55:40+00:00,$NAKA #Web3Gaming #GameFi @turkishguild,True,False,0,9409,3264,277,1,,2236,emu 📟〽️,3264,https://pbs.twimg.com/profile_banners/1469621840985399297/1714561822,https://pbs.twimg.com/profile_images/1741210047441448960/9Eg1NcI8_normal.jpg,False,emucoins,emucoins,9516,True,False,['1866428111631630417'],False,False,
1634263969626988547,1634263969626988547,2023-03-10 18:45:15+00:00,2023-03-10 18:45:15+00:00,Welcome to zero gravity space! Our marshmallow world invites everyone to an exciting adventure! https://t.co/GXlGtsynru,True,False,0,204,207,122,1,"New York, USA",46,Marsi_Web3Gaming,207,https://pbs.twimg.com/profile_banners/1634263969626988547/1696581126,https://pbs.twimg.com/profile_images/1703367491567616000/Ttaay8e7_normal.jpg,False,Marsi_Link,Marsi_Link,203,False,False,,False,False,
