id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
886207832,886207832,2012-10-17 06:07:50+00:00,2012-10-17 06:07:50+00:00,Hehe Protocol is an innovative alternative to traditional Automated Market Makers (AMMs) in the decentralized finance (DeFi) space.,True,False,0,336,557425,13,741,Defi,1236,Hehe Protocol,557425,https://pbs.twimg.com/profile_banners/886207832/1728561736,https://pbs.twimg.com/profile_images/1844347696171061266/fDX36Re3_normal.png,False,HeheProtocol,HeheProtocol,1397,False,False,['1844349805252039154'],False,False,
1733390318157144064,1733390318157144064,2023-12-09 07:38:18+00:00,2023-12-09 07:38:18+00:00,"🦋 The First Risk Automated Market Maker (RAMM) Platform With SAFETY - NON-MANIPULATION.
🦋 Our Social Media Channels And Contract: https://t.co/mHg2h1Hraw",,False,0,1176,8938,7,1,Global,398,Ramm Dex 🦋,8938,https://pbs.twimg.com/profile_banners/1733390318157144064/1704479881,https://pbs.twimg.com/profile_images/1742095617776873472/uxUMr53d_normal.jpg,False,RammDex,RammDex,1644,False,False,,False,False,
1618568026802032640,1618568026802032640,2023-01-26 11:14:34+00:00,2023-01-26 11:14:34+00:00,"The First Chiliz Automated Market Maker DEX, NFTs Marketplace, Swap and more on Chiliz Chain.

ChilizSwap - Connecting Chilizens 🌶",,False,0,2259,1872,76,13,,73,ChilizSwap 🌶,1872,https://pbs.twimg.com/profile_banners/1618568026802032640/1728039835,https://pbs.twimg.com/profile_images/1714571586676686848/c9q749-m_normal.jpg,False,chilizswap,chilizswap,718,True,False,,False,False,
1358097846684299269,1358097846684299269,2021-02-06 16:59:01+00:00,2021-02-06 16:59:01+00:00,Makidex is an automated market maker (AMM) on #SOL Telegram https://t.co/22btvaEue5,True,False,0,997,21209,102,58,Blockchain,738,MakiDex,21209,https://pbs.twimg.com/profile_banners/1358097846684299269/1708769332,https://pbs.twimg.com/profile_images/1760382735879708672/xZQWLwpG_normal.jpg,False,MakiDex_,MakiDex_,1284,False,False,['1766160274409533828'],False,False,
1679069642151608320,1679069642151608320,2023-07-12 10:07:06+00:00,2023-07-12 10:07:06+00:00,An automated market maker and liquidity pool designed for efficient trading between similarly priced (pegged) assets.,True,False,0,481,1439,13,24,Solana,239,SaberDAO,1439,https://pbs.twimg.com/profile_banners/1679069642151608320/1714975509,https://pbs.twimg.com/profile_images/1679070677758877697/Qgp7GK6l_normal.jpg,False,thesaberdao,thesaberdao,534,True,False,['1864394168585306607'],False,False,
1605647520331284481,1605647520331284481,2022-12-21 19:33:10+00:00,2022-12-21 19:33:10+00:00,,,False,0,0,4,2,0,,0,Orange (Automated Market Maker),4,https://pbs.twimg.com/profile_banners/1605647520331284481/1671651341,https://pbs.twimg.com/profile_images/1605647942508957696/VNzrBuIp_normal.jpg,False,OrangeCoinAmm,OrangeCoinAmm,2,False,False,,False,False,
1363487519329775617,1363487519329775617,2021-02-21 13:55:37+00:00,2021-02-21 13:55:37+00:00,The automated market maker for composable #DeFi #options. Turn #volatility in your favor!  #Ethereum $DIVER,True,False,0,582,37029,1050,122,Volatility Ocean 🌊,188,"Divergence Protocol (🤿,🤿)",37029,https://pbs.twimg.com/profile_banners/1363487519329775617/1649345943,https://pbs.twimg.com/profile_images/1569665962466746369/l3d54KAv_normal.jpg,False,divergencedefi,divergencedefi,588,True,False,,False,False,
1440716698382843916,1440716698382843916,2021-09-22 16:37:06+00:00,2021-09-22 16:37:06+00:00,"Market Maker Bots for Solana, TRON, TON, AVAX, ETH, BASE, BNB, MATIC, ARB.
Effective, fast and fully automated Market Making Bots for DEX.",,False,0,51,9822,4,4,,161,Market Maker Bot for DEX by Infinity Rocket,9822,https://pbs.twimg.com/profile_banners/1440716698382843916/1632329114,https://pbs.twimg.com/profile_images/1440716943619604483/A8tWzMYk_normal.jpg,False,iRocketToken,iRocketToken,179,False,False,,False,False,
1313157082305232896,1313157082305232896,2020-10-05 16:40:27+00:00,2020-10-05 16:40:27+00:00,A Cross-Chain Automated Market Maker (AMM) Yield Farming And NFTs Marketplace On Ethereum Chain,,False,0,40,13240,21,2,,1,RevoFinance,13240,https://pbs.twimg.com/profile_banners/1313157082305232896/1619537484,https://pbs.twimg.com/profile_images/1387066855635001347/sb8CXFCa_normal.jpg,False,finance_revo,finance_revo,2,False,False,['1388546820553547777'],False,False,
1585916284084129792,1585916284084129792,2022-10-28 08:48:13+00:00,2022-10-28 08:48:13+00:00,The first AMM (Automated Market Maker),True,False,0,28,28957,42,53,Atlantis,0,Suidex | Sui Blockchain Leading DEX,28957,https://pbs.twimg.com/profile_banners/1585916284084129792/1667117479,https://pbs.twimg.com/profile_images/1586631638087131136/pQ_TavMy_normal.jpg,False,Suidex_io,Suidex_io,4,False,False,['1769330133952008612'],False,False,
1553151456081059841,1553151456081059841,2022-07-29 22:53:13+00:00,2022-07-29 22:53:13+00:00,Hybrid automated market maker featuring automated concentrated liquidity building on @fuel_network,,False,0,85,3501,80,48,Blockchain,8,Elix Finance,3501,https://pbs.twimg.com/profile_banners/1553151456081059841/1673110542,https://pbs.twimg.com/profile_images/1611768038755340290/s_cWJ9Y4_normal.png,False,elixfinance,elixfinance,47,False,False,['1615763469365542938'],False,False,
1368293971479441409,1368293971479441409,2021-03-06 20:14:46+00:00,2021-03-06 20:14:46+00:00,"Decentralized exchange (DEX) - automated market maker (AMM) #Tron based 
Earn Big by Staking or Inviting $SST",,False,0,3819,5193,134,18,,305,Socialswap,5193,https://pbs.twimg.com/profile_banners/1368293971479441409/1615327947,https://pbs.twimg.com/profile_images/1369410778047057923/ZM2n79dL_normal.jpg,False,Socialswapdefi,Socialswapdefi,476,False,False,,False,False,
2336858983,2336858983,2014-02-10 15:25:08+00:00,2014-02-10 15:25:08+00:00,"Building https://t.co/Qm9wxNKg8u (@Swaapfinance), an Automated Market Maker engineered for Liquidity Providers.
Entrepreneurship & DeFi",True,False,0,2443,1183,805,25,,93,Cyrille - Swaap,1183,https://pbs.twimg.com/profile_banners/2336858983/1731057750,https://pbs.twimg.com/profile_images/1683886828267483150/jJo3IKLQ_normal.jpg,False,CyrillePastour,CyrillePastour,2122,True,False,['1671488112932040704'],False,False,
1434290890378522624,1434290890378522624,2021-09-04 23:03:10+00:00,2021-09-04 23:03:10+00:00,Community driven multi-chain automated market makers with liquidity mining protocols. ⛓ community: https://t.co/MgNTywW6oV     🇨🇳https://t.co/dUihhVLfPr,,False,0,13,11918,14,6,,12,ChainFi,11918,https://pbs.twimg.com/profile_banners/1434290890378522624/1632359083,https://pbs.twimg.com/profile_images/1434291436292300800/cX3QY1vS_normal.jpg,False,chainfi_io,chainfi_io,35,False,False,['1449020263253913600'],False,False,
