id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
1623653617059221504,1623653617059221504,2023-02-09 12:03:35+00:00,2023-02-09 12:03:35+00:00,"the cross chain medium for all ecosystems.
no more differences between any blockchains.",,False,0,52,7197,7,1,,15,Cross Chain Finance,7197,https://pbs.twimg.com/profile_banners/1623653617059221504/1675944800,https://pbs.twimg.com/profile_images/1626146464115171328/YtUxfn3d_normal.jpg,False,Crosschain_fin,Crosschain_fin,67,False,False,['1626142656492449792'],False,False,
1504417330176081923,1504417330176081923,2022-03-17 11:20:40+00:00,2022-03-17 11:20:40+00:00,"Trade anything in seconds across chains.

Guaranteed rates. Blazingly fast. Zero wrapped assets. #LFT!

Powered by @deBridgeFinance",True,False,0,1597,48454,10,43,,437,DLN – High Performance Cross-Chain Trading,48454,https://pbs.twimg.com/profile_banners/1504417330176081923/1690971700,https://pbs.twimg.com/profile_images/1625813208597516288/e0LLdgCm_normal.jpg,False,DLN_Trade,DLN_Trade,1299,True,False,['1718994653523968123'],False,False,
1448641342951727112,1448641342951727112,2021-10-14 13:26:38+00:00,2021-10-14 13:26:38+00:00,"Chain-Agnostic Wallet https://t.co/Zgkp5opSKd
Use Dapps of 40+ EVM networks, send, receive #crypto and NFTs, trade cross-chain with Telegram. Powered by $ASX.",True,False,0,28687,20564,536,5,Telegram,608,Assetux | Cross-Chain on Telegram,20564,https://pbs.twimg.com/profile_banners/1448641342951727112/1729600281,https://pbs.twimg.com/profile_images/1835356734376005632/BlPwkw_B_normal.png,False,assetux,assetux,2437,True,False,['1854358115166396768'],False,False,
1700800348670377984,1700800348670377984,2023-09-10 09:16:54+00:00,2023-09-10 09:16:54+00:00,"🚀The First-Ever Meme-Centric, Order-Book-Based Ultimate Perpetual DEX. 🌐 $HEREweGO！",True,False,0,658,112144,80,90,,384,SphereX - Ultimate Cross-Chain DEX,112144,https://pbs.twimg.com/profile_banners/1700800348670377984/1723615068,https://pbs.twimg.com/profile_images/1725650652913623040/5lVs6fNM_normal.jpg,False,SphereX_XYZ,SphereX_XYZ,908,True,False,,False,False,
1796409256385601536,1796409256385601536,2024-05-31 05:12:05+00:00,2024-05-31 05:12:05+00:00,Linking Chains for Seamless Swaps; enabling traders to effortlessly exchange assets across multiple blockchain networks. 💬 Telegram: https://t.co/1J1yVUrXY6,,False,0,2,1078,22,1,,18,OxLink 🔗 - CrossChain + Chart,1078,https://pbs.twimg.com/profile_banners/1796409256385601536/1718990619,https://pbs.twimg.com/profile_images/1802927287290994688/WOKKEK2U_normal.jpg,False,ox_link,ox_link,24,False,False,,False,False,
1684205181171277824,1684205181171277824,2023-07-26 14:13:18+00:00,2023-07-26 14:13:18+00:00,"The #1 Creative & Effortless Cross-Multichains NFT Marketplace 

https://t.co/WS0uc6gsVJ",,False,0,189,4001,16,0,,68,Mystery Gecko - Crosschain NFT Marketplace,4001,https://pbs.twimg.com/profile_banners/1684205181171277824/1694205941,https://pbs.twimg.com/profile_images/1739231824361168896/047nYQjD_normal.jpg,False,MysGecko,MysGecko,107,True,False,['1834983854815560011'],False,False,
1026772462296547328,1026772462296547328,2018-08-07 10:10:06+00:00,2018-08-07 10:10:06+00:00,"DIA is a trustless oracle network. Its modular, rollup-based design enables verifiable sourcing and delivery of any data to any blockchain. 

$DIA",True,False,0,6345,82727,738,541,Zug,1611,DIA | Cross-Chain Oracles for Web3,82727,https://pbs.twimg.com/profile_banners/1026772462296547328/1733141405,https://pbs.twimg.com/profile_images/1593622032314507265/l778mcvu_normal.jpg,False,DIAdata_org,DIAdata_org,6317,True,False,['1861458079759437949'],False,False,
1481855568386342912,1481855568386342912,2022-01-14 05:08:05+00:00,2022-01-14 05:08:05+00:00,"iCrosschain is a cross-chain transaction platform deployed on multiple publicchains:BSC,ERC20,AVAX,ARBITRUM,FTM,SOL,HECO,OEC,OP,MATIC - https://t.co/8SnvjoqPHb",,False,0,532,23242,10,6,multichain,188,iCrosschain.io,23242,https://pbs.twimg.com/profile_banners/1481855568386342912/1676561840,https://pbs.twimg.com/profile_images/1631968543263854593/O-exFovs_normal.jpg,False,iCrosschain,iCrosschain,339,True,False,['1606132696509386752'],False,False,
1683745039753543682,1683745039753543682,2023-07-25 07:44:48+00:00,2023-07-25 07:44:48+00:00,GameFi Cross-Chain Token 🕹️ #Solana Presale 🔜,True,False,0,1080,6958,735,7,Austria,308,C4 Coin,6958,https://pbs.twimg.com/profile_banners/1683745039753543682/1703021940,https://pbs.twimg.com/profile_images/1762645256187604993/eZIQMCCH_normal.jpg,False,C4CrossChain,C4CrossChain,695,True,False,['1849471672362967551'],False,False,
1531458865417822208,1531458865417822208,2022-05-31 02:13:59+00:00,2022-05-31 02:13:59+00:00,"The #1 Cross-chain Social Fitness App 👟 #SocialFi #Web3Fitness 

Available on iOS & Android, Apple Watch Integration 

 Download MoonFit App: https://t.co/pYhY0r7FSU",True,False,0,5669,37850,161,36,Cross-chain ,986,MoonFit | Cross-chain Social Fitness App,37850,https://pbs.twimg.com/profile_banners/1531458865417822208/1692860742,https://pbs.twimg.com/profile_images/1561536393402535936/QMSpIpcb_normal.jpg,False,MoonFitOfficial,MoonFitOfficial,2626,False,False,,False,False,
1536454852892577793,1536454852892577793,2022-06-13 21:07:01+00:00,2022-06-13 21:07:01+00:00,"The leading blockchain infrastructure media & community 🌎 Join a collection of Web3 builders, founders, and investors learning & exploring together 🚀",,False,0,422,2889,56,13,"Join 10,000+ subscribers! 👉",210,Cross Chain Coalition,2889,https://pbs.twimg.com/profile_banners/1536454852892577793/1655230565,https://pbs.twimg.com/profile_images/1536774641477332998/I01lxbC9_normal.jpg,False,crosschainco,crosschainco,796,False,False,['1610676778963709953'],False,False,
1309518546234421248,1309518546234421248,2020-09-25 15:42:21+00:00,2020-09-25 15:42:21+00:00,"WanSwap DEX $WASP
Deployed on Wanchain’s interoperable EVM compatible blockchain
Bridge: https://t.co/X2bbJe0jpJ
Official Telegram: https://t.co/ZWnzHRIeL7",True,False,0,2102,5159,50,33,Moon,298,"Wanswap, the Cross-chain AMM DEX",5159,https://pbs.twimg.com/profile_banners/1309518546234421248/1676149408,https://pbs.twimg.com/profile_images/1613675192475058176/e5GwHhOa_normal.png,False,wanswap,wanswap,1748,False,False,['1612275904411062272'],False,False,
1341972182662975490,1341972182662975490,2020-12-24 05:01:29+00:00,2020-12-24 05:01:29+00:00,"Swap & stake crypto across 50+ blockchains. Tap into cross-chain liquidity from bridges, DEXes, solvers using our API, SDK & no-code platform 🚀",True,False,0,1539,53064,116,175,,641,Swing | Unified Cross-chain UX 🤖,53064,https://pbs.twimg.com/profile_banners/1341972182662975490/1668124498,https://pbs.twimg.com/profile_images/1461049683133054984/Va5BYbWZ_normal.jpg,False,swing_xyz,swing_xyz,1852,True,False,['1863562007892369499'],False,False,
1634005581102223360,1634005581102223360,2023-03-10 01:37:52+00:00,2023-03-10 01:37:52+00:00,Degen Theme Park,True,False,0,1844,998,465,18,,649,Cross⛓️Chain⛓️Cosi,998,,https://pbs.twimg.com/profile_images/1734161766593265664/_sQlXG___normal.jpg,False,CrossChainCosi,CrossChainCosi,3545,True,False,['1700064257319305253'],False,False,
