id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
1636295623585714176,1636295623585714176,2023-03-16 09:17:46+00:00,2023-03-16 09:17:46+00:00,"A Pioneering Protocol for Optimized CeDeFi Liquidity Mining 

Trade on CEXes ⚒️ Earn on-chain rewards",True,False,0,1144,71293,15,12,Graveyard,32,Zombie,71293,https://pbs.twimg.com/profile_banners/1636295623585714176/1722996166,https://pbs.twimg.com/profile_images/1820762484900536320/hUFSTRHn_normal.png,False,zombiefi_app,zombiefi_app,53,False,False,['1861395738150006792'],False,False,
1133821360726323204,1133821360726323204,2019-05-29 19:44:12+00:00,2019-05-29 19:44:12+00:00,DeFuny is an intelligent market-making and liquidity mining company and super computing network center invested by the American CRYPTO FUND MANAGER LLC,True,False,0,54,15162,47,1,,22,DeFuny,15162,https://pbs.twimg.com/profile_banners/1133821360726323204/1695565919,https://pbs.twimg.com/profile_images/1705557211479470080/uPgHt6wn_normal.jpg,False,DeFuny_DFN,DeFuny_DFN,48,False,False,,False,False,
1686308296096157696,1686308296096157696,2023-08-01 09:30:24+00:00,2023-08-01 09:30:24+00:00,"SharkSwap is #1 utility built on the @fuel_network. Swapping, liquidity mining, governance; aiming for decentralization.",True,False,0,912,35752,399,9,,104,SharkSwap,35752,https://pbs.twimg.com/profile_banners/1686308296096157696/1721754626,https://pbs.twimg.com/profile_images/1749659006606729216/5pFVBFUz_normal.jpg,False,_SharkSwap,_SharkSwap,378,True,False,['1815945512144519418'],False,False,
1831983120079527936,1831983120079527936,2024-09-06 09:09:58+00:00,2024-09-06 09:09:58+00:00,"The first liquidity mining module on @Fractal_bitcoin.

Defi Pump Fun",True,False,0,105,3150,178,32,Bitcoin,100,PizzaFarm,3150,https://pbs.twimg.com/profile_banners/1831983120079527936/1725628280,https://pbs.twimg.com/profile_images/1833149575613550592/TGLTUdKu_normal.jpg,False,realpizzafarm,realpizzafarm,247,True,False,['1854944141115068709'],False,False,
23250787,23250787,2009-03-07 23:58:02+00:00,2009-03-07 23:58:02+00:00,"GYSR is a zero code launchpad for liquidity mining, NFT staking, governance rewards, token distribution, and more

part of 
@passageprotocol

https://t.co/E8FXYmWbaa",,False,0,381,5303,323,115,,4,GYSR,5303,https://pbs.twimg.com/profile_banners/23250787/1679316559,https://pbs.twimg.com/profile_images/1637798461222338560/D81SjSRB_normal.png,False,gysr_lo,gysr_lo,21,False,False,['1637798915817734145'],False,False,
1587295665088069632,1587295665088069632,2022-11-01 04:09:20+00:00,2022-11-01 04:09:20+00:00,"Leading Cloud mining provider, official @OreSupply pool with Boosts support.

We are building for deep liquidity and RWA adoption on Solana.

#ToTheMines ⛏️",True,False,0,161,395,23,4,Solana,15,Ore Rush | Mining Solutions,395,https://pbs.twimg.com/profile_banners/1587295665088069632/1724188714,https://pbs.twimg.com/profile_images/1825694276929368064/GJcGr3rR_normal.jpg,False,Ore_Rush,Ore_Rush,57,True,False,['1843422361908814120'],False,False,
1685580409541992448,1685580409541992448,2023-07-30 09:17:50+00:00,2023-07-30 09:17:50+00:00,"A CeDeFi solution offering CeDeFi Liquidity Mining and Asset Management Services. 
$MBA",,False,0,25,228,2,1,,22,MBA,228,https://pbs.twimg.com/profile_banners/1685580409541992448/1716808552,https://pbs.twimg.com/profile_images/1795051219586543618/OY4CZ2TW_normal.jpg,False,mbacedefi,mbacedefi,40,True,False,['1815512015009353905'],False,False,
1301016801266905088,1301016801266905088,2020-09-02 04:39:30+00:00,2020-09-02 04:39:30+00:00,"GYSR is a zero code launchpad for liquidity mining, NFT staking, governance rewards, token distribution, and more.

part of @passage_labs

https://t.co/HmOPuiTqJb",True,False,0,2346,3912,414,48,,196,GYSR,3912,https://pbs.twimg.com/profile_banners/1301016801266905088/1622085351,https://pbs.twimg.com/profile_images/1397753375693758464/qAaPI4YO_normal.png,False,gysr_io,gysr_io,1638,True,False,['1674807972512317444'],False,False,
1292771861512634368,1292771861512634368,2020-08-10 10:36:56+00:00,2020-08-10 10:36:56+00:00,"DeFi dApp: Trading, Lending, Liquidity Mining. Now Incubating BitcoinOS - The Bitcoin Superlayer.",True,False,0,11247,83395,986,849,Bitcoin,3355,Sovryn | DeFi for Bitcoin,83395,https://pbs.twimg.com/profile_banners/1292771861512634368/1720186597,https://pbs.twimg.com/profile_images/1623656658244145156/mw5Npm_B_normal.png,False,SovrynBTC,SovrynBTC,11216,True,False,['1861155715798241634'],False,False,
1408812958361296903,1408812958361296903,2021-06-26 15:42:49+00:00,2021-06-26 15:42:49+00:00,"I follow back 🚀❣
#Crypto to the Moon🚀
https://t.co/4owYWvKjrj : passive income with staking, liquidity mining and lending 🚀💪
$DOGE #dogecoin #dogearmy",,False,0,3169,2371,1412,9,Deutschland,186,CryptoQueen🇩🇪,2371,https://pbs.twimg.com/profile_banners/1408812958361296903/1624730053,https://pbs.twimg.com/profile_images/1416848914716704768/ElTMi16I_normal.jpg,False,DogeQueen21,DogeQueen21,997,False,False,['1424023708935524352'],False,False,
1353605510524637185,1353605510524637185,2021-01-25 07:28:08+00:00,2021-01-25 07:28:08+00:00,BSports is a decentralized prediction platform with deflationary tokenomics & liquidity mining protocol on #BSC.,True,False,0,26,13742,22,8,,255,BSports.io,13742,https://pbs.twimg.com/profile_banners/1353605510524637185/1619684738,https://pbs.twimg.com/profile_images/1387744760161464321/mOQLRE0p_normal.jpg,False,BSports_io,BSports_io,267,False,False,,False,False,
1364292407672508416,1364292407672508416,2021-02-23 19:13:59+00:00,2021-02-23 19:13:59+00:00,Liquidity Mining Blog là nơi chia sẻ các kiến thức liên quan đến Liquidity mining hay Yeild farming và hướng dẫn bạn cách kiếm tiền từ hình thức,,False,0,0,19,1,0," Căn 32, Lô TT02, Mon City, Ng",0,Liquidity Mining Blog,19,https://pbs.twimg.com/profile_banners/1364292407672508416/1615112633,https://pbs.twimg.com/profile_images/1368507680046772227/YokqDWTk_normal.jpg,False,blog_mining,blog_mining,37,False,False,,False,False,
1517052916108251137,1517052916108251137,2022-04-21 08:09:59+00:00,2022-04-21 08:09:59+00:00,Defi liquidity mining is a value-added business launched by a cryptocurrency wallet company jointly designated by ETH and Tether.#Crypto #ETH #USDT#blockchain,,False,0,14,87,921,1,,6,DEFI Liquidity Mining,87,https://pbs.twimg.com/profile_banners/1517052916108251137/1650530236,https://pbs.twimg.com/profile_images/1517056750381600768/oT94bQJS_normal.jpg,False,jfKytpaKKDKBKQ4,jfKytpaKKDKBKQ4,10,False,False,,False,False,
