id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
1600856310161018880,1600856310161018880,2022-12-08 14:15:10+00:00,2022-12-08 14:15:10+00:00,"Zorp creates simple tools for networked tribes to achieve independence. 

We build @nockchain, the ZK-Proof-of-Work blockchain.",True,False,0,23901,4673,2034,91,Texas,323,Zorp,4673,https://pbs.twimg.com/profile_banners/1600856310161018880/1724365710,https://pbs.twimg.com/profile_images/1836785477459861504/kRvMCTlK_normal.jpg,False,ZorpZK,ZorpZK,6392,True,False,['1864696427064000752'],False,False,
869920729210474497,869920729210474497,2017-05-31 14:17:19+00:00,2017-05-31 14:17:19+00:00,"World's #1 Proof of Work Portfolio tool loved by 32,000+ folks  ❤️🌍",True,False,0,21932,7334,158,63,fueler community,4135,Fueler - Your Proof of Work Profile,7334,https://pbs.twimg.com/profile_banners/869920729210474497/1704199627,https://pbs.twimg.com/profile_images/1675755197849808896/Z_YHywic_normal.jpg,False,FuelerHQ,FuelerHQ,14042,False,False,['1776586207658377395'],False,False,
1320561061402169345,1320561061402169345,2020-10-26 03:01:19+00:00,2020-10-26 03:01:19+00:00,"Offering solutions and advice to smart investors to earn passive income through token-incentivized, proof-of-work projects.",True,False,0,2684,447,259,11,Earth,146,Flywheel.Systems 🎈,447,https://pbs.twimg.com/profile_banners/1320561061402169345/1692648190,https://pbs.twimg.com/profile_images/1693715956730667009/LImt94kr_normal.jpg,False,FlywheelSystems,FlywheelSystems,677,True,False,,False,False,
1459142382381932549,1459142382381932549,2021-11-12 12:54:23+00:00,2021-11-12 12:54:23+00:00,"Kaspa utilizes the GHOSTDAG protocol, a generalization of Nakamoto Consensus, with the fastest proof-of-work L1 available. https://t.co/2yvytlus2m",,False,0,1252,233987,210,807,,595,Kaspa,233987,https://pbs.twimg.com/profile_banners/1459142382381932549/1661182082,https://pbs.twimg.com/profile_images/1755037036635901952/ekPFbZfj_normal.jpg,False,KaspaCurrency,KaspaCurrency,1125,True,False,,False,False,
992532791626625024,992532791626625024,2018-05-04 22:33:52+00:00,2018-05-04 22:33:52+00:00,"Tari is the L1 protocol powered by you - proof of work, beautiful apps anyone can use, and an ingenious app platform to put all of its power in your hands.",,False,0,1687,308655,4,278,Soonsville,1003,Tari,308655,https://pbs.twimg.com/profile_banners/992532791626625024/1726159834,https://pbs.twimg.com/profile_images/1792963073004724224/XhFoS1Wm_normal.jpg,False,tari,tari,2096,True,False,['1824126337855987732'],False,False,
1306071657174441985,1306071657174441985,2020-09-16 03:25:29+00:00,2020-09-16 03:25:29+00:00,"Reignite the Crypto Revolution.

The first decentralized energy dollar on the only scalable and programmable Proof-of-Work blockchain.",True,False,0,18978,280313,671,547,https://discord.gg/quai,2260,Quai Network ⚡️💵,280313,https://pbs.twimg.com/profile_banners/1306071657174441985/1721079525,https://pbs.twimg.com/profile_images/1734342197816774656/cM2AlLNw_normal.jpg,False,QuaiNetwork,QuaiNetwork,8340,True,False,['1866252710879887773'],False,False,
1024907573583986688,1024907573583986688,2018-08-02 06:39:42+00:00,2018-08-02 06:39:42+00:00,Proof of Work #hardware #bitcoin #trustless #fhe #sustainability #freedom,,False,0,3757,4195,2843,70,Trustless Bay,76,stayhenry,4195,https://pbs.twimg.com/profile_banners/1024907573583986688/1680509326,https://pbs.twimg.com/profile_images/1699287319545778176/S9QyNafD_normal.jpg,False,stayhenry0x,stayhenry0x,1614,True,False,['1753464512274206934'],False,False,
1450215024144760837,1450215024144760837,2021-10-18 21:40:10+00:00,2021-10-18 21:40:10+00:00,"Lord Jesus Christ, Son of God,have mercy on me, a sinner. I only follow my fellow plebs.  #Bitcoin",,False,0,3397,590,984,1,,11,DreamCash,590,https://pbs.twimg.com/profile_banners/1450215024144760837/1655059229,https://pbs.twimg.com/profile_images/1707096295935188992/WrAgbajE_normal.jpg,False,ProofOfWorkBJJ,ProofOfWorkBJJ,161,False,False,['1606784868033392640'],False,False,
1744437706187317248,1744437706187317248,2024-01-08 19:15:47+00:00,2024-01-08 19:15:47+00:00,"𝗣𝗢𝗪 requires 𝗪𝗢𝗥𝗞 💥

The world's first proof-of-work NFT 🏭",True,False,0,156,2464,6,6,💥,51,POW 💥 | PROOF-OF-WORK ON SOL,2464,https://pbs.twimg.com/profile_banners/1744437706187317248/1705207740,https://pbs.twimg.com/profile_images/1746393943808315392/QsIiu0ir_normal.jpg,False,pow_mint,pow_mint,216,False,False,,False,False,
246911146,246911146,2011-02-03 18:25:17+00:00,2011-02-03 18:25:17+00:00,Bitcoin angel investor building a Citadel Mind & Body through Proof of Work Nostr #npub1zjx3xe49u3njkyep4hcqxgth37r2ydc6f0d7nyfn72xlpv7n97ss73pvrl 🐦,True,False,0,171468,69159,3259,1114,"Cape Breton & London, ON 🇨🇦",6741,Brad Mills 🔑⚡️,69159,https://pbs.twimg.com/profile_banners/246911146/1584032320,https://pbs.twimg.com/profile_images/1779500729134116865/GBd4bfMq_normal.jpg,False,bradmillscan,bradmillscan,77137,True,False,['1859271812942623201'],False,False,
