id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
873567775259623424,873567775259623424,2017-06-10 15:49:22+00:00,2017-06-10 15:49:22+00:00,,,False,0,0,272,0,2,,0,Tokenomics,272,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,tokenomics,tokenomics,0,False,False,,False,False,
1497754144798482432,1497754144798482432,2022-02-27 02:03:30+00:00,2022-02-27 02:03:30+00:00,"Specialized Tokenomics firm for Web3 Projects, Launchpads, VCs & Funds.",True,False,0,2883,8956,488,11,,46,Black Tokenomics,8956,https://pbs.twimg.com/profile_banners/1497754144798482432/1727547546,https://pbs.twimg.com/profile_images/1801326588446859264/fZ6aJI6Y_normal.jpg,False,blacktokenomics,blacktokenomics,257,True,False,['1841772812870287707'],False,False,
1507963229544329217,1507963229544329217,2022-03-27 06:10:45+00:00,2022-03-27 06:10:45+00:00,"Developed by @BlackTokenomics | Layer 3

Powered by tokenomics information, we gain an edge.

Secure WL → mint → Access our tokenomics tools.",True,False,0,813,3992,3,15,,36,Tokenomics Club,3992,https://pbs.twimg.com/profile_banners/1507963229544329217/1718284797,https://pbs.twimg.com/profile_images/1801238079023222784/1r8dMriG_normal.png,False,TokenomicsClub,TokenomicsClub,116,False,False,['1790044909652586926'],False,False,
27232300,27232300,2009-03-28 14:02:46+00:00,2009-03-28 14:02:46+00:00,"$HNT $MOBILE $IOT $GEOD $HONEY $DIMO - Building the Helium networks, GEODNET and bringing other #DePIN projects along for the ride. Irresponsibly long DePIN.",,False,0,9706,519,563,14,,208,Fomosapien🎈 🛰️ 🗺️ 🚗 ⭕,519,https://pbs.twimg.com/profile_banners/27232300/1681463861,https://pbs.twimg.com/profile_images/1666748229902278656/UgXCGWwo_normal.jpg,False,Tokenomics101,Tokenomics101,2950,False,False,['1854638849202303168'],False,False,
1484007824015384577,1484007824015384577,2022-01-20 03:41:16+00:00,2022-01-20 03:41:16+00:00,Founder @legiondotcc merit-based ICOs | tweets are not endorsements or advice. not a lawyer.,True,False,0,7186,12055,1075,123,London,243,Matty,12055,https://pbs.twimg.com/profile_banners/1484007824015384577/1695763943,https://pbs.twimg.com/profile_images/1825901650856280064/0PBKHmV9_normal.jpg,False,mattyTokenomics,mattyTokenomics,4026,True,False,,False,False,
1834207928376508416,1834207928376508416,2024-09-12 12:30:34+00:00,2024-09-12 12:30:34+00:00,True Hyper Deflationary Tokenomics specifically designed for an ever increasing price!,,False,0,4,279,1,2,Ethereum,35,Runner Tokenomics,279,https://pbs.twimg.com/profile_banners/1834207928376508416/1726145211,https://pbs.twimg.com/profile_images/1834211937476849664/nKcHNMX5_normal.jpg,False,Runnernomics,Runnernomics,44,False,False,['1834780980583837978'],False,False,
1413252725173858308,1413252725173858308,2021-07-08 21:44:57+00:00,2021-07-08 21:44:57+00:00,"100x #Crypto investor and researcher specialising in low cap #Altcoins #DePIN
 $AIOZ  | $PNG
DM for business https://t.co/kprR2BwkYk",True,False,0,3414,6692,554,36,UK,1,Dr Tokenomics,6692,https://pbs.twimg.com/profile_banners/1413252725173858308/1625940857,https://pbs.twimg.com/profile_images/1413923796097064961/ZBxDMI3o_normal.jpg,False,DrTokenomics,DrTokenomics,215,False,False,,False,False,
1419930184560615443,1419930184560615443,2021-07-27 07:58:40+00:00,2021-07-27 07:58:40+00:00,"Official Twitter for $PROGE and $ROGE - the Rogue Doges
TG | https://t.co/xjtNFNL0FF",,False,0,118,355,8,1,Uranus,57,Proge & Roge,355,https://pbs.twimg.com/profile_banners/1419930184560615443/1627372826,https://pbs.twimg.com/profile_images/1438959614712762368/BjmAVreD_normal.jpg,False,TwinTokenomics,TwinTokenomics,166,False,False,['1473646382359715840'],False,False,
1558418715145904128,1558418715145904128,2022-08-13 11:42:43+00:00,2022-08-13 11:42:43+00:00,A simple powerful API to communicate the complex crypto tokenomics data effectively.,,False,0,72,137,2,1,"Lisbon, Portugal",0,The Line,137,https://pbs.twimg.com/profile_banners/1558418715145904128/1689846708,https://pbs.twimg.com/profile_images/1691169683368546305/3c9VVhnN_normal.jpg,False,TokenomicsLine,TokenomicsLine,0,False,False,,False,False,
2945095946,2945095946,2014-12-27 13:27:35+00:00,2014-12-27 13:27:35+00:00,"Running a marathon onchain 🦇 🔊
Class 2017",,False,0,58460,6035,1062,92,nowhere and everywhere,3758,Pope,6035,https://pbs.twimg.com/profile_banners/2945095946/1692941766,https://pbs.twimg.com/profile_images/1862887196295925760/2wyu2Rm9_normal.jpg,False,web3tokenomics,web3tokenomics,29786,True,False,['1857065792367472800'],False,False,
