id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
1295959614375297026,1295959614375297026,2020-08-19 05:43:52+00:00,2020-08-19 05:43:52+00:00,A community-built platform for DeFi yield farming.,True,False,0,1062,61248,180,610,L1 | Polygon | Arbitrum | Base,862,Harvest,61248,https://pbs.twimg.com/profile_banners/1295959614375297026/1710840784,https://pbs.twimg.com/profile_images/1658053645802274816/DJKnLw7r_normal.png,False,harvest_finance,harvest_finance,2710,True,False,['1798682715363098834'],False,False,
1400447408048271360,1400447408048271360,2021-06-03 13:41:30+00:00,2021-06-03 13:41:30+00:00,"The spot leverage trading and yield farming protocol
App: https://t.co/xn2qcnUfOW

Discord: https://t.co/kV0bGV2niW 
Medium: https://t.co/kNDO0vgdp2",True,False,0,7816,88135,1164,143,multichain,253,Primex Finance,88135,https://pbs.twimg.com/profile_banners/1400447408048271360/1673354906,https://pbs.twimg.com/profile_images/1612794374122881026/kZ_4qE91_normal.jpg,False,primex_official,primex_official,550,True,False,['1856787644602314850'],False,False,
1454455366134214657,1454455366134214657,2021-10-30 14:29:28+00:00,2021-10-30 14:29:28+00:00,Simplifying & optimizing yield farming with intents-centric architecture & AI-driven liquidity management. Part of @chainlink BUILD,True,False,0,4631,57735,347,89,,1245,Clip | Access top DeFi yields,57735,https://pbs.twimg.com/profile_banners/1454455366134214657/1725555876,https://pbs.twimg.com/profile_images/1802823181767434240/-c4IDLpJ_normal.jpg,False,ClipFinance,ClipFinance,4454,True,False,['1825576317581983999'],False,False,
1451989485890248705,1451989485890248705,2021-10-23 19:10:54+00:00,2021-10-23 19:10:54+00:00,"Sharing cryptocurrency events, yield farming, DeFi, & airdrop strategies. Daily news: @AlphaPackedHQ. Investing: @OlimpioCapital. Finding airdrops: @earndrop_io",True,False,0,2254,195143,485,5198,Join 50K readers →,1227,olimpio,195143,https://pbs.twimg.com/profile_banners/1451989485890248705/1643203885,https://pbs.twimg.com/profile_images/1558854215937585153/dPiYrza7_normal.png,False,OlimpioCrypto,OlimpioCrypto,5474,True,False,,False,False,
596551022,596551022,2012-06-01 15:23:11+00:00,2012-06-01 15:23:11+00:00,"Early stage web3, AI, robotics venture fund, syndicate and community (100,000+ strong).",True,False,0,319,4307,927,45,Puerto Rico,2,Truffle.vc,4307,https://pbs.twimg.com/profile_banners/596551022/1671898549,https://pbs.twimg.com/profile_images/1606685073495007233/Q_7AC9Ic_normal.jpg,False,YieldFarming,YieldFarming,55,True,False,,False,False,
1287968444952895488,1287968444952895488,2020-07-28 04:29:51+00:00,2020-07-28 04:29:51+00:00,"💙 A suite of streamlined tools to maximize your trading and yield farming returns. 

🤖 AI-powered trading w/ Bella Signal Bot: https://t.co/Xhaj6K8FSd",True,False,0,1218,61235,242,323,,397,Bella Protocol,61235,https://pbs.twimg.com/profile_banners/1287968444952895488/1728417911,https://pbs.twimg.com/profile_images/1468774354142076931/xAum2p2X_normal.jpg,False,BellaProtocol,BellaProtocol,1598,True,False,['1838398944646181079'],False,False,
1441210412691693572,1441210412691693572,2021-09-24 01:18:46+00:00,2021-09-24 01:18:46+00:00,"Generate Life-Changing Income in DeFi & NFT's @leftcurvescar @leftcurvehyena @LeftCurvShinobi
https://t.co/amxbAD66JS",True,False,0,277,1433,3,32,Degen Island 2035,27,"Left Curve Cap: DeFi, Yield Farming & NFT",1433,https://pbs.twimg.com/profile_banners/1441210412691693572/1643456324,https://pbs.twimg.com/profile_images/1446885484416798721/D5lNc4s-_normal.png,False,LCurveCapital,LCurveCapital,167,False,False,['1451011934493499396'],False,False,
1328692273752592389,1328692273752592389,2020-11-17 13:33:33+00:00,2020-11-17 13:33:33+00:00,"Permissionless under-collateralised loans upto 5x collateral for yield farming & trading needs.

Try now: https://t.co/cceVvMlO0L",,False,0,1725,53924,9,157,❇️ Starknet,785,Hashstack | Borrow 5x collateral,53924,https://pbs.twimg.com/profile_banners/1328692273752592389/1708501485,https://pbs.twimg.com/profile_images/1544634969930481664/KqAbE-VR_normal.jpg,False,0xHashstack,0xHashstack,2884,True,False,,False,False,
1524640581888225281,1524640581888225281,2022-05-12 06:43:17+00:00,2022-05-12 06:43:17+00:00,"YieldKingZ is a Web3 casino Game-Fi platform that combines Yield Farming, solves inflationary tokenomics, and introduces Club-Fi for community-driven financial",,False,0,5,11907,9,4,,6,YieldKingZ,11907,https://pbs.twimg.com/profile_banners/1524640581888225281/1729755908,https://pbs.twimg.com/profile_images/1760207789673295872/zQE3VwsE_normal.png,False,Yieldkingz,Yieldkingz,12,True,False,['1730517554622554270'],False,False,
1676092615383740419,1676092615383740419,2023-07-04 04:56:47+00:00,2023-07-04 04:56:47+00:00,"Săn Hidden Gem, Yield Farming, Retroactive & #Airdrop Strategies nhanh nhất! 

⚡️ by @HakResearch

Telegram: https://t.co/j2KbMAPk3A",,False,0,3026,6947,237,44,Moon,659,Gem Research,6947,https://pbs.twimg.com/profile_banners/1676092615383740419/1689303544,https://pbs.twimg.com/profile_images/1678771493256429569/LJkIs1m7_normal.jpg,False,GemResearch_,GemResearch_,1871,True,False,['1853603134926418397'],False,False,
