id,rest_id,created_at,date,bio,can_dm,is_blocked,fast_followers_count,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,profile_banner_url,profile_image_url_https,protected,screen_name,username,statuses_count,verified,possibly_sensitive,pinned_tweets,notifications_enabled,notifications,community_role
2432540773,2432540773,2014-04-07 20:06:17+00:00,2014-04-07 20:06:17+00:00,L2 EVM-compatible Bitcoin zk-rollup,True,False,0,21,36071,16,500,,6,via,36071,https://pbs.twimg.com/profile_banners/2432540773/1707336278,https://pbs.twimg.com/profile_images/1755694223154696192/TzFkjX4u_normal.jpg,False,buildonvia,buildonvia,25,False,False,['1757385630902874481'],False,False,
9130922,9130922,2007-09-27 20:08:02+00:00,2007-09-27 20:08:02+00:00,"Ethereum (Layer 2+3) ZK-Rollup Protocol💙 powering⚡️ 
(mobile) ➡️ multi-network Smart Wallet: https://t.co/GKF7EHWRGH (web) ➡️ DApp: https://t.co/aRiISHxvmL",True,False,0,12239,226750,656,2071,Ethereum,1465,Loopring💙,226750,https://pbs.twimg.com/profile_banners/9130922/1687615641,https://pbs.twimg.com/profile_images/1187288603170426880/vV5r_bLF_normal.jpg,False,loopringorg,loopringorg,6708,True,False,['1846947800329998415'],False,False,
1486289022188240897,1486289022188240897,2022-01-26 10:45:13+00:00,2022-01-26 10:45:13+00:00,Next generation DeFi powered by public ZK-Rollup technology. Join us on Discord: https://t.co/jjCLnQS4pl,,False,0,7,23289,3,377,,0,Starkswap,23289,https://pbs.twimg.com/profile_banners/1486289022188240897/1671199594,https://pbs.twimg.com/profile_images/1603753450046619648/L1TgeRKu_normal.jpg,False,starkswap,starkswap,2,False,False,,False,False,
1771386415609511936,1771386415609511936,2024-03-23 04:00:33+00:00,2024-03-23 04:00:33+00:00,The First DeFi & AI Agent Utilizing BRC-20 On @Bitcoin Layer 2. Powered by @BVMnetwork with Zk-Rollup tech stack. Iron Vault Node Tier 2 is live.,True,False,0,291,35634,85,5,Bitcoin,171,Iron Chain Bank 🟧,35634,https://pbs.twimg.com/profile_banners/1771386415609511936/1733153294,https://pbs.twimg.com/profile_images/1772619985187487744/iqEMv2tl_normal.jpg,False,ironchainbank,ironchainbank,347,True,False,['1806329609136504883'],False,False,
1663947287603675136,1663947287603675136,2023-05-31 16:36:06+00:00,2023-05-31 16:36:06+00:00,$BELF | Decentralized on-chain Casino with L2 ZK-Rollup technology 🔥  Join TG: https://t.co/B1c9a6G26Z,True,False,0,2,2467,56,1,,21,Belfort Games,2467,https://pbs.twimg.com/profile_banners/1663947287603675136/1692558503,https://pbs.twimg.com/profile_images/1663961708505726986/-tKZxOgi_normal.jpg,False,BelfortGames,BelfortGames,35,False,False,,False,False,
1637925623367708672,1637925623367708672,2023-03-20 21:15:02+00:00,2023-03-20 21:15:02+00:00,"ZK-rollup OB DEX - Not. All. Dexes. Are. Alike.  
https://t.co/wyzZ3A3dL4",True,False,0,41,840,16,38,,11,zkFlip,840,https://pbs.twimg.com/profile_banners/1637925623367708672/1679698138,https://pbs.twimg.com/profile_images/1637926590343528448/ZJTpiQUu_normal.jpg,False,zkFlipDEX,zkFlipDEX,43,False,False,['1643188389997363200'],False,False,
1484862475447062528,1484862475447062528,2022-01-22 12:16:24+00:00,2022-01-22 12:16:24+00:00,"First real estate development-oriented metaverse space 
ZK-Rollup
Layer1&Layer2
Discord: https://t.co/yfflu85NTC",,False,0,16,222,11,4,Neo New York,10,Neo New York,222,https://pbs.twimg.com/profile_banners/1484862475447062528/1643194706,https://pbs.twimg.com/profile_images/1486246962748092420/ntwwjgz6_normal.jpg,False,NeoNewYorkNFT,NeoNewYorkNFT,84,False,False,,False,False,
1842881677929947136,1842881677929947136,2024-10-06 10:56:54+00:00,2024-10-06 10:56:54+00:00,"Quill Finance ⧫ A secure, over-collateralized stablecoin protocol on Scroll’s zk-Rollup network.

Join us now: https://t.co/SUhbTVt0xs",True,False,0,166,270,14,8,,59,Quill Finance,270,https://pbs.twimg.com/profile_banners/1842881677929947136/1730303821,https://pbs.twimg.com/profile_images/1846602707290685440/VUYFbkX9_normal.jpg,False,QuillFi,QuillFi,182,True,False,['1854516180725162357'],False,False,
884982158,884982158,2012-10-16 18:16:33+00:00,2012-10-16 18:16:33+00:00,"A unified trading layer across multiple L1s & L2s, revolutionizing decentralized trading with the first multi-chain ZK-Rollup. 👉 https://t.co/BDF77XJoAd",,False,0,105,5343,831,9,Singapore,42,zkLink,5343,https://pbs.twimg.com/profile_banners/884982158/1685276530,https://pbs.twimg.com/profile_images/1662796393877061637/a7Sr9S4Y_normal.png,False,zkLlnkorg,zkLlnkorg,1537,False,False,['1662798417746173952'],False,False,
1454912467616759812,1454912467616759812,2021-10-31 20:45:48+00:00,2021-10-31 20:45:48+00:00,The real zk-Rollup for Ethereum,,False,0,0,0,0,0,,0,The real ZK-rollup,0,,https://pbs.twimg.com/profile_images/1454912511128465411/qn3DgUzB_normal.png,False,therealzkrollup,therealzkrollup,0,False,False,,False,False,
1866422263232299008,1866422263232299008,2024-12-10 10:00:20+00:00,2024-12-10 10:00:20+00:00,,,False,0,8,2,42,0,,0,Zk Zk,2,,https://pbs.twimg.com/profile_images/1866422690963234816/Gz0BOStT_normal.jpg,False,ZkZk1253052,ZkZk1253052,0,False,False,,False,False,
1866533168301404160,1866533168301404160,2024-12-10 17:19:30+00:00,2024-12-10 17:19:30+00:00,,,False,0,0,0,1,0,,0,zk,0,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,zk1039334319641,zk1039334319641,0,False,False,,False,False,
